,"scrape_date","product_collections","Brand","Product","Price Per Gram","unit_of_measurement","Product_URL","THC %","CBD %","Prices","availability","product_sku","thc_percent_low_end_of_range","thc_percent_high_end_of_range","cbd_low_end_of_range","cbd_high_end_of_range","grow_method","trimming_method","growing_region","growing_region_cleaned","latitude","longitude","strain_name","plant_type","potency","brand","licensed_producer","long_product_description","Unnamed: 0","terpenes","actual_product_type","product_name_link_markdown"
453,"2023-12-30","Dried Flower","Universe Cannabis","Pineapple Express",4.02,"g","https://ocs.ca/products/pineapple-express-universe-cannabis-pineapple-express",23,0.5,28.14,"In stock online",628693183093,20,26,0,1,"Outdoor",,"Aylmer","Aylmer",45.3950895,-75.8442452,"Pineapple Express","Sativa Dominant","Very Strong","Universe Cannabis","Pharmhill Inc.","Pineapple Express milled flower is a sativa-dominant hybrid cannabis strain made by crossing Trainwreck with Hawaiian. This strain has become a favourite in the hearts and minds of cannabis lovers. In terms of flavour, this strain packs a punch to your palate with bright citrus notes infused with pineapple and earthy pine, thanks to the terpenes of caryophyllene, limonene and pinene.",,"Myrcene, Trans-Caryophyllene","Dried Flower","[Mango Haze Pre-Roll](https://ocs.ca/products/mango-haze-pre-roll-color-cannabis)"
454,"2023-12-30","Dried Flower","Universe Cannabis","Blueberry Haze (Blue Milk)",,,"https://ocs.ca/products/blue-milk-universe-cannabis-blue-haze",25,0.5,,,,22,28,0,1,"Indoor",,"Brantford","Brantford",43.1408157,-80.2631733,"Blueberry Haze","Sativa Dominant","Very Strong","Universe Cannabis","Pharmhill Inc.","Blueberry Haze (Blue Milk) is a hybrid strain and the daughter of a Blueberry indica and the original Haze. This sativa-dominant hybrid is a versatile strain. Blueberry Haze (Blue Milk) has a pleasing taste and scent with furry dense buds.",,"Myrcene, Pinene","Dried Flower","[B. Banner Pre-Roll](https://ocs.ca/products/b-banner-pre-roll-argentia-gold)"
469,"2023-12-30","Dried Flower","Wagners","Grape Quake",9.13,"g","https://ocs.ca/products/grape-quake-wagners-grape-cream-cake-x-pladdy-quake",26,3,31.96,"In stock online",846067001570,23,29,0,6,"Indoor",,"Kitchener","Kitchener",43.451291,-80.4927815,"Grape Cream Cake x Pladdy Quake","Hybrid","Very Strong","Wagners","Trichome JWC Acquisition Corp. dba JWC","While this strain leads with flavours of grape the undertones of Danish pastries, cheese and cake give it a complexity that is truly unique. The buds are dense and are glistening with icy trichomes. Not to be missed, this hybrid strain is known for its delicious grape jelly aroma.",,"Limonene, Linalool, Myrcene","Dried Flower","[Platinum Cookies Pre-Rolls](https://ocs.ca/products/platinum-cookies-pre-rolls-palmetto)"
478,"2023-12-30","Dried Flower","Weed Me Grind","SATIVA 30 PLUS",6.9,"g","https://ocs.ca/products/sativa-30-plus-weed-me-grind",32,0.5,96.6,"In stock online",843087002211,30,34,0,1,"Indoor",,"Various",,,,,"Sativa Dominant","Very Strong","Weed Me Grind","WEED ME INC","Presenting Weed Me's strain specific, premium milled cannabis. This sativa-dominant strain boasts a strong THC potency, is milled and is sealed in tinted glass jars with an Integra pack to preserve terpenes and flavours.",,,"Dried Flower","[Pure Sun CBD Pre-Rolls](https://ocs.ca/products/pure-sun-cbd-pre-rolls-pure-sunfarms)"
479,"2023-12-30","Dried Flower","Weed Me Grind","INDICA 30 PLUS",6.9,"g","https://ocs.ca/products/indica-30-plus-weed-me-grind",33,0.5,96.6,"In stock online",843087002228,30,36,0,1,"Indoor",,"Various",,,,,"Indica Dominant","Very Strong","Weed Me Grind","WEED ME INC","Presenting Weed Me's strain specific, premium milled cannabis. This indica-dominant strain boasts a strong THC potency, is milled and is sealed in tinted glass jars with an Integra pack to preserve terpenes and flavours.",,,"Dried Flower","[10th Planet Pre-Rolls](https://ocs.ca/products/10th-planet-pre-rolls-countryside)"
483,"2023-12-30","Dried Flower","WholeHemp","Premium CBD Flower",4.3,"g","https://ocs.ca/products/premium-cbd-flower-wholehemp",0.5,14.5,15.05,"In stock online",628250340242,0,1,11,18,"Outdoor",,"SW Ontario",,,,,"Hybrid","Little to Minimal","WholeHemp","Abide","WholeHemp’s Premium CBD Flower is selected from only the finest high-CBD, orchard-grown whole hemp flower. Grown in Southwestern Ontario by select artisanal growers, only the finest high grade hemp flowers are hand selected from elite CBD cultivars to deliver a consistent CBD potency with the low THC levels inherent to hemp. The flowers are hand-harvested and lovingly cured and trimmed to preserve their natural terpene and cannabinoid profiles. An Integra Boost humidity control pack is included in every package to maintain ideal humidity and deliver an exceptional smoking experience every time.",,,"Dried Flower","[ICC + MAC-1 Pre-Roll Combo Pack](https://ocs.ca/products/icc-mac-1-pre-roll-combo-pack-edison-cannabis-co)"
484,"2023-12-30","Dried Flower","WholeHemp","Cherry Blossom CBD Flower",5.73,"g","https://ocs.ca/products/cherry-blossom-cbd-flower-wholehemp",0.5,14,20.06,"In stock online",628250340488,0,1,12,16,"Outdoor",,"Trent Hills","Trent Hills",44.2921994,-77.8221814864,,"Sativa Dominant","Little to Minimal","WholeHemp","ABIDE INC.","Craft grown outdoors in Southern Ontario, the high CBD Cherry Blossom hemp strain is a cross of Cherry Wine x Berry Blossom. Primary terpenes are myrcene, bisabolol and caryophyllene. This strain is full of big, bold berry flavours but with a delicate, floral side as well, strong blends of gardenia, apple, and citrus blossoms.",,"Bisabolol, Caryophyllene, Limonene, Myrcene, Pinene","Dried Flower","[33 Splitter](https://ocs.ca/products/33-splitter-true-fire-co-ltd)"
489,"2023-12-30","Dried Flower","WINK","SECRET FORMULA",5.94,"g","https://ocs.ca/products/secret-formula-wink-1",25.5,0.5,20.79,"In stock online",843087001511,21,30,0,1,,,,,,,,"Hybrid","Very Strong","WINK","WEED ME INC","Behold the mysterious nature of Secret Formula, a potent indica dominant rotating SKU featuring unique genetics at a lower cost.",,,"Dried Flower","[Purple Balance Pre-Roll](https://ocs.ca/products/purple-balance-pre-rolls-pinnrz)"
490,"2023-12-30","Dried Flower","WINK","TANGERINE COOKIES",,,"https://ocs.ca/products/tangerine-cookies-wink-1",27,1,,,,24,30,0,2,,,,,,,,"Hybrid","Very Strong","WINK","WEED ME INC","Tangerine Cookies is a mouth-watering hybrid crossed with Tangie and Thin Mint GSC. These rock hard buds are caked in gooey crystals and fill the room with the aroma of orange cream soda.",,,"Dried Flower","[HHH Pre-Roll](https://ocs.ca/products/hhh-pre-roll-the-bc-bud-co)"
491,"2023-12-30","Dried Flower","WINK","SECRET FORMULA",5.94,"g","https://ocs.ca/products/secret-formula-wink-fr-1",25.5,0.5,20.79,"In stock online",843087001511,21,30,0,1,,,,,,,,"Hybrid","Very Strong","WINK","WEED ME INC","Behold the mysterious nature of Secret Formula, a potent indica dominant rotating SKU featuring unique genetics at a lower cost.",,,"Dried Flower","[Pineapple Nuken](https://ocs.ca/products/pineaple-nuken-divvy)"
492,"2023-12-30","Dried Flower","WINK","TANGERINE COOKIES",,,"https://ocs.ca/products/tangerine-cookies-wink-fr-1",27,1,,,,24,30,0,2,,,,,,,,"Hybrid","Very Strong","WINK","WEED ME INC","Tangerine Cookies is a mouth-watering hybrid crossed with Tangie and Thin Mint GSC. These rock hard buds are caked in gooey crystals and fill the room with the aroma of orange cream soda.",,,"Dried Flower","[Banjo-GPS](https://ocs.ca/products/grandpas-stash-ouest)"
499,"2023-12-30","Dried Flower","XK","Casper Haze",,,"https://ocs.ca/products/casper-haze-xk",21,0.5,,,,18,24,0,1,"Indoor",,"SmithFalls","Rosedale",43.6783556,-79.3807457,,"Sativa Dominant","Very Strong","XK","Exka Inc.","Selection of haze strains that offer a unique experience to the connoisseur with its distinguished smell and texture. Available through rotating haze strains that will offer customers flavour profiles that are in high demands.",,"Caryophyllene, Humulene, Limonene, Linalool, Ocimene","Dried Flower","[Blackberry Gelato Pre-Rolls](https://ocs.ca/products/blackberry-gelato-pre-rolls-wildlife)"
0,"2023-12-30","Dried Flower",1964,"Blunt Pre-Roll",16.65,"g","https://ocs.ca/products/blunt-pre-roll-1964",27,0.5,16.65,"In stock online",688318002468,24,30,0,1,"Hybrid-Greenhouse",,"Delta","Delta",49.0846258,-123.057938,,"Hybrid","Very Strong",1964,"Rubicon Organics Inc","The 1964 Blunt will feature a rotating selection the best 1964 cultivars. The Blunt wraps used in this product are tobacco-free and were chosen for their delicious flavour, smooth smoke and even burn. Each blunt contains whole flower (no shake or trim) that is milled to perfection before it’s added to the blunt. All flower used in the blunt is grown in organic living soil, hang dried for 14 days, cold cured and non-irradiated.",,"Limonene, Trans-Caryophyllene","Pre-Roll","[Reserva Privada OG18](https://ocs.ca/products/reserva-privada-og18-strain-rec)"
6,"2023-12-30","Dried Flower","1Spliff","Purple Aya Pre-Roll",7.47,"g","https://ocs.ca/products/aya-purple-pre-roll-1-spliff",25,1.5,26.15,"In stock online",627570320217,22,28,1,2,"Indoor",,"Toronto","Toronto",43.6534817,-79.3839347,,"Indica Dominant","Very Strong","1Spliff","SESS Holdings","The famous purple strain is best known for its loud purple leaves, glimmering trichomes, and dense buds. Master Kush and the now believed extinct Red River Delta were crossed to create Purple Aya. These ultra-rare crosses explain its stunning appearance. In addition, it has a loud blend of papaya, sour, and earthy aromas and is craft grown indoors under full spectrum lighting. Purple Aya is hung dried, hand manicured, and cured for 21 days to ensure consistency in quality.",,"Caryophyllene, Farnasene, Limonene, Linalool, Myrcene","Pre-Roll","[Royal Collection Redees Pre-Roll (King Pack)](https://ocs.ca/products/royal-collection-redees-pre-roll-king-pack-redecan)"
7,"2023-12-30","Dried Flower","1Spliff","Mac N Cheese Pre-Roll",7.47,"g","https://ocs.ca/products/mac-n-cheese-pre-roll-1spliff-mac-n-cheese",23,0,26.15,"In stock online",627570322211,20,26,0,0,"Indoor",,"Toronto","Toronto",43.6534817,-79.3839347,"Mac N Cheese","Hybrid","Very Strong","1Spliff","2589991 ONTARIO INC. (d.b.a. SESS Holdings)","You asked, we delivered! Mac N Cheese pre-rolls emit rich sweet floral and cheese-like flavours along with welcoming earthy and spicy aromas. Acquired its great traits from parent strains MAC and Cheese. Completely grown indoor under craft attention. Pistils glow in bright peach colour that outperforms the rest of its appearance. The flower is hand-harvested, hang dried, hand manicured, and cured for 21 days followed by grinding (ensuring no stems, no sticks, and no shake) to produce quality pre-rolls.",,"Alpha-Pinene, Caryophyllene, Limonene, Myrcene, Pinene","Pre-Roll","[All Flower (3CT) FPOG Pre-Roll](https://ocs.ca/products/all-flower-3ct-fpog-pre-roll-greybeard)"
15,"2023-12-30","Dried Flower","5 Points Cannabis","Assorted Multi Pack Pre-Roll",8.32,"g","https://ocs.ca/products/assorted-multi-pack-pre-roll-5-points-cannabis",28.25,0.5,29.95,"In stock online",628634099650,23,33.5,0,1,,,"Pierreville","Pierreville",46.070134,-72.810173,,"Hybrid","Very Strong","5 Points Cannabis","5 POINTS CANNABIS INC","The assorted multi pack is a 3 x 4 set of our 3 best sellers. Zsweet (sativa), Planet of the Grape (indica) and ZXFPOG (hybrid)",,,"Pre-Roll","[Pink Cookies](https://ocs.ca/products/pink-cookies-big-bag-o-buds)"
18,"2023-12-30","Dried Flower","7 Farms Down","Cherry Boat Pre-Roll",10,"g","https://ocs.ca/products/cherry-boat-pre-roll-7-farms-down-cherry-boat-1",23,0.5,5,"In stock online",628678533387,20,26,0,1,"Outdoor",,"Merlin","Merlin",42.2408775,-82.2314,"Cherry Boat","Sativa Dominant","Very Strong","7 Farms Down","Bloom House Cannabis","Selected from a sativa-dominant worked line, Cherry Boat was bred in-house for its potency and flavours that flowers rapidly for a seamless late summer harvest. This truly unique cultivar blends one of Canada’s strongest heirloom genetics -- an 11 week Pink Kush S1 -- with its heightened THC potential crossed with the delicious aromas and flavours of Top Dawgs Cherry Chem. Grown in sunny southwestern Ontario and cared for by a talented team of legacy growers and breeders, Cherry Boat reeks of sweet fruit with earthy chocolate undertones and a whole lot of funk.",,,"Pre-Roll","[Kush Mints](https://ocs.ca/products/kush-mints-tweed)"
19,"2023-12-30","Dried Flower","7ACRES","Jack Haze Pre-Roll",9.9,"g","https://ocs.ca/products/jack-haze-7acres-jack-haze",20,0.005,9.9,"In stock online",688083014161,17,23,0,0.01,,,"Triverton","Tiverton",44.3886196,-66.2138548,"Jack Haze","Sativa Dominant","Very Strong","7ACRES","Canopy Growth","7ACRES has developed a sativa-dominant cultivar with a unique combination of sweet citrus, crisp pine and warm spice notes. 7ACRES Jack Haze was a result of a large genetic selection program, with the goal of finding a novel sativa expression. This particular phenotype stood out among the rest,  as it possessed both the sweet haze notes characteristic of a haze cultivar, along with the distinct spice aroma which has made Jack Herer a favourite amongst the cannabis community for years.",,,"Pre-Roll","[Elios Reserve Dark Shadow Haze](https://ocs.ca/products/elios-reserve-dark-shadow-haze-elios-reserve)"
20,"2023-12-30","Dried Flower","7ACRES","Platinum Kush Breath Pre-Roll",9.9,"g","https://ocs.ca/products/platinum-kush-breath-pre-roll-7acres-sensi-star",25,0.005,9.9,"In stock online",688083014154,22,28,0,0.01,,,"Triverton","Tiverton",44.3886196,-66.2138548,"Platinum Kush Breath","Hybrid","Very Strong","7ACRES","Canopy Growth","7ACRES has developed a hybrid cultivar with a unique combination of sweet lemon, fruity berry and funky earth. 7ACRES Platinum Kush Breath was a result of a large genetic selection program with the goal of finding a novel strain. This particular phenotype stood out among the rest, as it possessed both the sweet lemon and fruity berry characteristics of Platinum OG, along with a funky earthy aroma from its OG Kush Breath lineage.",,,"Pre-Roll","[Bush League Sour Kush Milled Flower](https://ocs.ca/products/bush-league-sour-kush-milled-flower-back-forty)"
25,"2023-12-30","Dried Flower","Argentia Gold","B. Banner Pre-Roll",7.64,"g","https://ocs.ca/products/b-banner-pre-roll-argentia-gold",24,1.5,19.1,"In stock online",841885001481,22,26,0,3,"Outdoor",,"Delhi","Delhi",42.8544957,-80.4983709,,"Sativa Dominant","Very Strong","Argentia Gold","Argentia Gold Corporation","B. Banner’s aroma is a mix of floral, earthy, and sweet scents. It has a sweet, fruity, strawberry smoke and really brings out those earthy kush flavours which originate from the many frosted trichomes encasing the buds. This high potency strain finishes with a boasting terpene profile of 3.9%. A sativa dominant strain which was formed by Dark Horse Genetics when OG Kush was combined with Strawberry Diesel. Bruce Banner is an enjoyable cultivar to grow. It produces large and dense colas that seem to double in size overnight. They grow into large dense plants filled with frosty trichomes and colourful pistils.",,,"Pre-Roll","[Berry Smasher](https://ocs.ca/products/berry-smasher-muskoka-grown)"
32,"2023-12-30","Dried Flower","Back Forty","Wedding Pie Pre-Roll",6.54,"g","https://ocs.ca/products/wedding-pie-pre-roll-back-forty-40s",24,0,22.89,"In stock online",628186229352,18,30,0,0,"Hybrid-Greenhouse",,,,,,,"Indica Dominant","Very Strong","Back Forty","Kolab Project","Wedding Pie is a cross between Wedding Cake and Grape Pie. Back Forty Wedding Pie pre-rolls are grown in an advanced hybrid greenhouse and pack up to 2.89% total terpene content to deliver a sweet, lemony and gassy profile. Back Forty pre-rolls are 0.35 g machine-rolled slim joints that offer a consistent, even burn with enhanced airflow and flavour. Back Forty pre-rolls have been packed with a resealable film to ensure freshness after multiple sessions or while on-the-go. 40s were made for sharing. Back Forty 40s packaging is 100% recyclable; the carton is made purely from post-consumer waste. Just toss in the blue bin. Forty requires no introduction because it already feels familiar. Offering a product suite that fits seamlessly into your day-to-day, there’s no need to overthink its purpose of providing a better experience for less. Take a trip and explore the Back Forty.",,"Alpha-Bisabolol, Beta-Caryophyllene, Cedrene, Limonene, Linalool","Pre-Roll","[Mango Haze Pre-Roll](https://ocs.ca/products/mango-haze-pre-roll-color-cannabis)"
37,"2023-12-30","Dried Flower","Back Forty","Banana OG Pre-Roll",6.54,"g","https://ocs.ca/products/banana-og-pre-roll-back-forty-banana-og",25.75,0,22.89,"In stock online",628186000173,22,29.5,0,0,"Greenhouse",,,,,,"Banana OG","Sativa Dominant","Very Strong","Back Forty","AUXLY OTTAWA INC","Settle in for a tropical, slow-burn with the delightful hybrid that is Banana OG. Packing potency, these slim, machine-rolled pre-rolls offer big hits of flavour and an even burn. This cross between Banana Kush x OG Kush is a perfect match. Take a trip, and explore the Back Forty.",,,"Pre-Roll","[B. Banner Pre-Roll](https://ocs.ca/products/b-banner-pre-roll-argentia-gold)"
38,"2023-12-30","Dried Flower","Back Forty","Panda Puff Pre-Roll",6.54,"g","https://ocs.ca/products/panda-puff-pre-roll-back-forty",26.25,0,22.89,"In stock online",628186000197,24.5,28,0,0,"Greenhouse",,,,,,,"Indica Dominant","Very Strong","Back Forty","AUXLY OTTAWA INC","These slim machine-rolled offer big hits of flavour and an even burn. Panda Puff from Kaiser Chief is a rich indica with a Peanut Butter Breath x Gelato Acai heritage. These pre-rolls have been packed with a re-sealable film to ensure freshness after multiple sessions – 40s were made for sharing. Take a trip, explore the Back Forty.",,,"Pre-Roll","[Platinum Cookies Pre-Rolls](https://ocs.ca/products/platinum-cookies-pre-rolls-palmetto)"
45,"2023-12-30","Dried Flower","BC Black","Blueberry Frost Pre-Roll",10.96,"g","https://ocs.ca/products/crowfoot-cannabis-blueberry-frost-pre-roll-bc-black",30,0.5,27.4,"In stock online",836637009662,28,32,0,1,"Indoor",,"Salmon Arm","Salmon Arm",50.7005059,-119.2790529,,"Hybrid","Very Strong","BC Black","Joint Venture Craft Cannabis Inc.","This frosty purple hybrid is a cross of Blueberry Syrup and Permafrost bred in the Shuswap region of BC by an unnamed legacy cultivator. Blueberry Syrup, bred by Social Genetics (a cross of Blueberry and Humble Pie) is crossed with Permafrost bred by Rogue Buds (a cross of Trainwreck and White Widow) to create Blueberry Frost. This cultivar showcases beautiful trichome density on every surface and has a beautiful lilac colour. The nose is sweet like fresh blueberries with mellow earth notes and a sharper gas finish. Crowfoot Cannabis Inc was founded in 2019 by a group of friends with more than 100 years of combined growing experience. Master grower Paul Roberson had been cultivating since 1989 and continues on the tradition at Crowfoot's micro cultivation facility in Salmon Arm, BC. Paul grows in coco using 1000w Gavita HPS lighting and finishes the product with a two- to three-week hang dry, hand trimming and two-week cold cure.",,"Alpha-Pinene, Beta-Caryophyllene, Germacrene, Limonene, Selinadienes","Pre-Roll","[Pure Sun CBD Pre-Rolls](https://ocs.ca/products/pure-sun-cbd-pre-rolls-pure-sunfarms)"
53,"2023-12-30","Dried Flower","BLK MKT","BLNT Trio Pre-Roll",15.83,"g","https://ocs.ca/products/blnt-trio-pre-roll-blk-mkt",26.75,0.5,23.75,"In stock online",834407001243,23.5,30,0,1,"Indoor",,"Okanagan","Okanagan",49.91087735,-119.1392373287,,"Hybrid","Very Strong","BLK MKT","Avant Craft Cannabis Inc","Introducing BLKMKT's first 1/2 gram pre-rolls. The BLNT Trio is a collection of three handcrafted, top-shelf premium blunt pre-rolls in a single pack. Packed by centrifuge in All Natural Hemp wraps, hand-finished and presented in premium recyclable glass tubes.",,,"Pre-Roll","[10th Planet Pre-Rolls](https://ocs.ca/products/10th-planet-pre-rolls-countryside)"
54,"2023-12-30","Dried Flower","BOLD","Root Beer Float Pre-Roll",13.97,"g","https://ocs.ca/products/root-beer-float-pre-rolls-bold-growth",34,0.5,20.96,"In stock online",628176417189,31,37,0,1,"Indoor",,"Saskatoon, SK","Saskatoon",52.131802,-106.660767,,"Indica Dominant","Very Strong","BOLD","Bold Growth","Root Beer Float is an indica-dominant strain created through crossing XXX OG and Vanilla Kush. Enter into a sweet, earthy aroma with hints of lemon and pine. Enjoy the classic Root Beer flavour combined with frothy vanilla notes. BOLD’s Root Beer Float is hang-dried, slow cured and dry trimmed by hand to accentuate the rich amber pistils and creamy vanilla trichomes. Whole flower and hand finished.",,,"Pre-Roll","[ICC + MAC-1 Pre-Roll Combo Pack](https://ocs.ca/products/icc-mac-1-pre-roll-combo-pack-edison-cannabis-co)"
59,"2023-12-30","Dried Flower","Bonfire","Golden Grape Pre-Roll",,,"https://ocs.ca/products/golden-grape-pre-roll-bonfire",28,0.5,,,,25,31,0,1,"Indoor",,"Southwestern Ontario",,,,,"Indica Dominant","Very Strong","Bonfire","GreenSeal Cannabis Company Ltd.","The best of the best of cannabis experiences. The moment the package opens the room fills with the sweet aroma of juicy grapes. The visual bag appeal of chunky, sticky orbs of golden green flower combined with a pinene-forward terpene profile and lofty THC levels have pushed Golden Grape to the forefront of our production focus. Golden Grape began in a dedicated cannabis nursery, where this overachiever rose to the top of our never-ending phenotype hunt for the highest performing genetics. The team fully embraced the challenge of bringing out the best qualities of this outstanding specimen. They start by cultivating in small batches so each plant receives the full attention it deserves through each phase of the grow. Harvested at peak ripeness, each plant is hang-dried and slowly finished to achieve perfect moisture. Finally, each bud is inspected and hand trimmed with the utmost care by the dedicated quality control team, ensuring that every bag achieves its maximum visual potential.",,"Alpha-Humulene, Alpha-Pinene, Beta-Caryophyllene, Beta-Pinene, Myrcene","Pre-Roll","[33 Splitter](https://ocs.ca/products/33-splitter-true-fire-co-ltd)"
64,"2023-12-30","Dried Flower","Bud Lafleur","Moby Dick Pre-Roll",12.78,"g","https://ocs.ca/products/moby-dick-pre-roll-bud-lafleur-tm-mc-moby-dick",29,1,13.25,"In stock online",620376111119,26,32,0,2,"Indoor",,"Pointe-Claire","Pointe-Claire",45.4566767,-73.8067442,"Moby Dick","Sativa Dominant","Very Strong","Bud Lafleur","Cielo Verde Quebec Inc.","Moby Dick is a sativa-dominant strain with a strong THC potency potential made by crossing Haze x White Widow. Moby Dick delivers a pine and citrus-forward flavour profile. Grown indoors in Pointe-Claire, Quebec, we hand harvest, whole plant hang dry, hand trim, slow cure and hand package. Our pre-rolls are prepared using quality flower (never trim), finely ground, compacted in 98mm wood pulp paper, natural brown cone, not bleached and non GMO, using Organic Arabica gum, with a 26mm tip and burn white to light grey with a slow to medium burn rate.",,"Beta-Myrcene, Beta-Ocimene, Caryophyllene, Delta-Limonene, Humulene","Pre-Roll","[Purple Balance Pre-Roll](https://ocs.ca/products/purple-balance-pre-rolls-pinnrz)"
65,"2023-12-30","Dried Flower","Bud Lafleur","Citroli Pre-Roll",13.25,"g","https://ocs.ca/products/citroli-pre-roll-bud-lafleur",30,1,13.25,"In stock online",620376111065,27,33,0,2,"Indoor",,"Pointe-Claire","Pointe-Claire",45.4566767,-73.8067442,,"Sativa Dominant","Very Strong","Bud Lafleur","Cielo Verde Quebec Inc.","Citroli is a sativa-dominant strain with a very high THC potency potential made by crossing Citral Skunk with Original Glue.  This sativa has cheesy, woody aromas and a smooth pine taste. Grown indoors in Pointe-Claire, Quebec, we hand harvest, hang dry, hand trim, slow cure and hand package. Our pre-rolls are prepared using our top quality flower (never trim), finely ground, compacted in 109mm wood pulp paper, natural brown cone, not bleached, non GMO, using 100% Organic Arabica gum, 26mm tip and burn white to light grey with a slow to medium burn rate.",,"Caryophyllene, Humulene, Limonene, Linalool, Myrcene","Pre-Roll","[HHH Pre-Roll](https://ocs.ca/products/hhh-pre-roll-the-bc-bud-co)"
69,"2023-12-30","Dried Flower","Buddy Blooms","Big Buddy Indica Pre-Roll",5.75,"g","https://ocs.ca/products/big-buddy-indica-pre-roll-buddy-blooms",24,0.5,11.5,"In stock online",876936000649,21,27,0,1,"Indoor",,"St. Thomas","St. Thomas",42.779022,-81.1929882,,"Indica Dominant","Very Strong","Buddy Blooms","MERA CANNABIS CORP.","The Big Buddy Indica Pre-Roll is full of quality and high THC flower that is in a convenient and smooth pre-roll for any consumer. This indica-dominant pre-roll is made from a variety of strains, rolled to perfection to ensure that you always get a consistently smooth burn. Get ready to stay blooming with your new preferred indica pre-roll pack.",,,"Pre-Roll","[Pineapple Nuken](https://ocs.ca/products/pineaple-nuken-divvy)"
70,"2023-12-30","Dried Flower","Buddy Blooms","2 x Big Buddy Sativa Pre-Roll",5.75,"g","https://ocs.ca/products/2-x-big-buddy-sativa-pre-roll-buddy-blooms",24.75,0.5,11.5,"In stock online",876936000830,20,29.5,0,1,,,,,,,,"Sativa Dominant","Very Strong","Buddy Blooms","MERA CANNABIS CORP.","2 x Big Buddy Sativa Pre-Roll",,,"Pre-Roll","[Banjo-GPS](https://ocs.ca/products/grandpas-stash-ouest)"
76,"2023-12-30","Dried Flower","Cali Slimz","Lemon RNTZ Pre-Roll",5.7,"g","https://ocs.ca/products/lemon-rntz-pre-roll-cali-slimz",20.75,0.5,5.7,"Out of stock",,17,24.5,0,1,"Hybrid-Greenhouse",,"Niagara","Niagara",43.6440753,-79.4086982,,"Hybrid","Very Strong","Cali Slimz","Cannacure Corp","Lemon Runtz is an evenly balanced hybrid strain (50% indica/50% sativa) created through crossing the potent Runtz x Lemon Tree strains. Named for its heritage and delicious flavour, Lemon Runtz is a great choice for any hybrid lover. Like its name suggests, Lemon Runtz has a sweet and sour citrusy lemony flavour with a lightly flowery and herbal exhale. The aroma is much like a sour lemon candy in a citrus grove right after the rain, with touches of earthy woodiness accenting sharply sour lemon. This bud has super sticky and fat pepper-shaped bright neon green buds with dark leaves, light orange hairs and a coating of tiny, frosty white crystal trichomes.",,,"Pre-Roll","[Blackberry Gelato Pre-Rolls](https://ocs.ca/products/blackberry-gelato-pre-rolls-wildlife)"
77,"2023-12-30","Dried Flower","Cali Slimz","Tangie Sunset Pre-Roll",5.7,"g","https://ocs.ca/products/tangie-sunset-pre-roll-cali-slimz",21.75,0.5,19.95,"In stock online",842360015757,18,25.5,0,1,"Indoor",,"Alberta",,,,,"Sativa Dominant","Very Strong","Cali Slimz","Cannacure Corp","Tangie Sunset is a sativa dominant hybrid strain created through crossing the potent Jack Herer x Orange Crush strains. Tangie Sunset has a sharp citrusy flavour with a sour tangy exhale that has a savoury diesel kick. The aroma has a woody diesel overtone accented by zesty citrus effect as the buds are burned.",,,"Pre-Roll","[Reserva Privada OG18](https://ocs.ca/products/reserva-privada-og18-strain-rec)"
78,"2023-12-30","Dried Flower","Cali Slimz","Watermelon Zkittlez Pre-Roll",5.7,"g","https://ocs.ca/products/watermelon-zkittlez-pre-roll-cali-slimz-watermelon-zkittlez",22,1,5.7,"Out of stock",,19,25,0,2,"Indoor",,"Pemberton","Pemberton",50.3203804,-122.8080783,"Watermelon Zkittlez","Indica Dominant","Very Strong","Cali Slimz","Cannacure Corp","Watermelon Zkittlez is an indica strain (60% indica/40% sativa) created through crossing the delicious Zkittlez x Watermelon strains. Watermelon Zkittlez packs a mouthwatering sweet citrus and watermelon flavour into each and every earthy toke. The aroma is of earthy herbs and rich fruity citrus with a heavily sour overtone that turns slightly pungent the more the buds are burned. Watermelon Zkittlez buds have heart-shaped dark olive green buds with rich purple undertones, sparse orange hairs and a coating of tiny purple-tinted white crystal trichomes.",,"Caryophyllene, Limonene, Myrcene","Pre-Roll","[Royal Collection Redees Pre-Roll (King Pack)](https://ocs.ca/products/royal-collection-redees-pre-roll-king-pack-redecan)"
79,"2023-12-30","Dried Flower","CaliNorth","Top Cola Pre-Roll Lillybelle's Flower Pre-Roll",,,"https://ocs.ca/products/top-cola-pre-roll-lillybelles-flower-pre-roll-calinorth",20.75,1,,,,16.5,25,0,2,"Outdoor",,"Caledon","Caledon",43.82706015,-79.9061036957,,"Hybrid","Very Strong","CaliNorth","Tricanna Industries Inc.","The fruity Lillybelle’s flower is a combination of an Original Haze and Trainwreck. CaliNorth Lillybelle’s Flower is naturally grown in living soil. The cultivation process uses captured rainwater and is free of pesticides, herbicides and commercial fertilizers, with each plant receiving the individual care and attention to ensure the highest quality. Our cultivation process sequesters 20 times more carbon than it produces. CaliNorth Lillybelle’s Flower is hang dried, hand-trimmed, slow cold cured and is cultivated locally in Caledon, Ontario, the only Licenced Producer to be officially recognized by the Ontario Federation of Agriculture (OFA). CaliNorth Lillybelle’s Flower is a fruity hybrid that you can feel good about supporting.",,,"Pre-Roll","[All Flower (3CT) FPOG Pre-Roll](https://ocs.ca/products/all-flower-3ct-fpog-pre-roll-greybeard)"
